Name	Targ1	Targ2	Targ3	Theme1	Theme2	Theme3	Theme4	Theme5	Theme6	Lang1	Lang2	Lang3	Lang4	Lang5	Lang6	Lang7	Lang8	
Minecraft 3D Printing	1	@	@	0	7	@	@	@	@	23	@	@	@	@	@	@	@	
Minecraft Modding 	1	@	@	2	7	@	@	@	@	18	@	@	@	@	@	@	@	
Snapology's Minecraft 1 & 2 Summer at Talley	1	@	@	6	7	@	@	@	@	20	23	@	@	@	@	@	@	
Engineering Camp	1	@	@	9	@	@	@	@	@	71	@	@	@	@	@	@	@	
Artificial Intelligence	1	@	@	9	@	@	@	@	@	71	@	@	@	@	@	@	@	
Computer Science	1	@	@	9	@	@	@	@	@	71	@	@	@	@	@	@	@	
Computer Science	1	@	@	9	@	@	@	@	@	71	@	@	@	@	@	@	@	
Artificial Intelligence	1	@	@	9	@	@	@	@	@	71	@	@	@	@	@	@	@	
Code Secrets	1	@	@	9	@	@	@	@	@	4	@	@	@	@	@	@	@	
Introduction to Circuitry	0	@	@	9	@	@	@	@	@	4	@	@	@	@	@	@	@	
PC Builders Academy	1	@	@	9	@	@	@	@	@	71	@	@	@	@	@	@	@	
3D Printer Builders	1	@	@	9	@	@	@	@	@	71	@	@	@	@	@	@	@	
How Computers Think	1	@	@	9	@	@	@	@	@	71	@	@	@	@	@	@	@	
Do You Arduino? (Maker/Computer Engineering)	1	@	@	9	@	@	@	@	@	71	@	@	@	@	@	@	@	
Raspberry Pi (Maker/Computer Engineering	1	@	@	9	@	@	@	@	@	71	@	@	@	@	@	@	@	
Digital Makers, Cyber Defenders and Internet Creators	1	@	@	9	@	@	@	@	@	71	@	@	@	@	@	@	@	
Camp I	1	@	@	9	@	@	@	@	@	71	@	@	@	@	@	@	@	
Arduino Network Team	1	@	@	9	@	@	@	@	@	71	@	@	@	@	@	@	@	
Computational Biology Camp	1	@	@	9	@	@	@	@	@	26	@	@	@	@	@	@	@	
Cyber Security	1	@	@	9	@	@	@	@	@	4	@	@	@	@	@	@	@	
 STEM Summer Camp	1	@	@	9	@	@	@	@	@	71	@	@	@	@	@	@	@	
Young Women's Summer Institute (residential)	0	@	@	9	@	@	@	@	@	71	@	@	@	@	@	@	@	
4-H Camp Tech (residential)	1	@	@	9	@	@	@	@	@	71	@	@	@	@	@	@	@	
camp Watonka	4	@	@	9	@	@	@	@	@	71	@	@	@	@	@	@	@	
Adventures in Robotics and Programming with LEGO® EV3	1	@	@	1	@	@	@	@	@	20	@	@	@	@	@	@	@	
TEC Camp	0	@	@	1	@	@	@	@	@	71	@	@	@	@	@	@	@	
Camp C3	1	@	@	1	@	@	@	@	@	71	@	@	@	@	@	@	@	
Purdue University Computer Science Camp	1	@	@	1	@	@	@	@	@	26	@	@	@	@	@	@	@	
Camp Alpha: Computing with Alice	1	@	@	1	@	@	@	@	@	2	@	@	@	@	@	@	@	
Rock Chalk Jayhawk Code KU! (Beginning Code)	1	@	@	1	@	@	@	@	@	3	@	@	@	@	@	@	@	
Adventures in Engineering& Electronics with Arduino	1	@	@	1	@	@	@	@	@	4	@	@	@	@	@	@	@	
Park Tudor - "Computer Science - An Introduction"	1	@	@	1	@	@	@	@	@	44	@	@	@	@	@	@	@	
C++ Programming Honors	1	@	@	1	@	@	@	@	@	9	@	@	@	@	@	@	@	
iD Programming Academy for Teens	1	@	@	1	@	@	@	@	@	4	9	18	@	@	@	@	@	
2016 Stem Summer Experience/ Program It	1	@	@	1	@	@	@	@	@	7	8	9	@	@	@	@	@	
Drag & Drop Programming	1	@	@	1	@	@	@	@	@	35	@	@	@	@	@	@	@	
Code Central Station: HTML	1	@	@	1	@	@	@	@	@	17	@	@	@	@	@	@	@	
Code Breakers	1	@	@	1	@	@	@	@	@	12	17	19	@	@	@	@	@	
Code Breakers	1	@	@	1	@	@	@	@	@	12	17	19	@	@	@	@	@	
Code Central Station: Java	1	@	@	1	@	@	@	@	@	18	@	@	@	@	@	@	@	
Camp Beta: Problem Solving with Computing	1	@	@	1	@	@	@	@	@	18	@	@	@	@	@	@	@	
Cracking the AP Computer Science A exam in Java 	0	2	@	1	@	@	@	@	@	18	@	@	@	@	@	@	@	
Introduction to Java Programming Honors	1	@	@	1	@	@	@	@	@	18	@	@	@	@	@	@	@	
Introduction to Java Programming Honors	1	@	@	1	@	@	@	@	@	18	@	@	@	@	@	@	@	
Advanced Code Crew	1	@	@	1	@	@	@	@	@	18	@	@	@	@	@	@	@	
Pre-College Explorations @ Michigan Tech	1	@	@	1	@	@	@	@	@	18	@	@	@	@	@	@	@	
coding in java	1	@	@	1	@	@	@	@	@	18	@	@	@	@	@	@	@	
Education Unlimited	1	@	@	1	@	@	@	@	@	18	@	@	@	@	@	@	@	
Learning to Code: Java Graphics	1	@	@	1	@	@	@	@	@	18	@	@	@	@	@	@	@	
Computer programming with Java	1	@	@	1	@	@	@	@	@	18	@	@	@	@	@	@	@	
Computer programming with Java	1	@	@	1	@	@	@	@	@	18	@	@	@	@	@	@	@	
Java	1	@	@	1	@	@	@	@	@	18	@	@	@	@	@	@	@	
Code	1	@	@	1	@	@	@	@	@	18	19	26	@	@	@	@	@	
ASU Code Camp	1	@	@	1	@	@	@	@	@	18	31	@	@	@	@	@	@	
Minecraft	1	@	@	1	@	@	@	@	@	19	@	@	@	@	@	@	@	
Sugar Coded — Coding with JavaScript	0	@	@	1	@	@	@	@	@	19	27	@	@	@	@	@	@	
Adventures in Engineering & Rocket Science	1	@	@	1	@	@	@	@	@	46	68	@	@	@	@	@	@	
Programming	1	@	@	1	@	@	@	@	@	8	18	26	31	52	@	@	@	
Programming with Minecraft	1	@	@	1	@	@	@	@	@	23	@	@	@	@	@	@	@	
Minecraft Modding with Java & Forge	1	@	@	1	@	@	@	@	@	18	23	@	@	@	@	@	@	
Code Central Station: Python	1	@	@	1	@	@	@	@	@	26	@	@	@	@	@	@	@	
Python	1	@	@	1	@	@	@	@	@	26	@	@	@	@	@	@	@	
Airplane Tracking with Raspberry Pis	1	@	@	1	@	@	@	@	@	26	@	@	@	@	@	@	@	
Fundamentals of Computer Science in Python	0	2	@	1	@	@	@	@	@	26	@	@	@	@	@	@	@	
Computer Coding – Intermediate Track	1	@	@	1	@	@	@	@	@	26	@	@	@	@	@	@	@	
Summer Computing Academy for female students	0	@	@	1	@	@	@	@	@	26	@	@	@	@	@	@	@	
Python Programming: From Games to Google	1	@	@	1	@	@	@	@	@	26	@	@	@	@	@	@	@	
Raspberry Pi	1	@	@	1	@	@	@	@	@	26	@	@	@	@	@	@	@	
Python Camp	1	@	@	1	@	@	@	@	@	26	@	@	@	@	@	@	@	
Python	1	@	@	1	@	@	@	@	@	26	@	@	@	@	@	@	@	
Game Development with Python Programming	1	@	@	1	@	@	@	@	@	26	@	@	@	@	@	@	@	
Scratch	1	@	@	1	@	@	@	@	@	27	@	@	@	@	@	@	@	
Girls Coding Camp	0	@	@	1	@	@	@	@	@	27	@	@	@	@	@	@	@	
Introduction to Coding	1	@	@	1	@	@	@	@	@	27	@	@	@	@	@	@	@	
Scratch Camp	1	@	@	1	@	@	@	@	@	27	@	@	@	@	@	@	@	
 Programming with Scratch I 	1	@	@	1	@	@	@	@	@	27	@	@	@	@	@	@	@	
intro to coding camp	1	@	@	1	@	@	@	@	@	27	@	@	@	@	@	@	@	
Scratch Level 2	1	@	@	1	@	@	@	@	@	27	@	@	@	@	@	@	@	
Scratch Camp	1	@	@	1	@	@	@	@	@	27	@	@	@	@	@	@	@	
Adventures in Programming	1	@	@	1	@	@	@	@	@	27	@	@	@	@	@	@	@	
STEM Learn How to Code	1	@	@	1	@	@	@	@	@	27	@	@	@	@	@	@	@	
CoderDojo	1	@	@	1	@	@	@	@	@	6	17	19	23	27	@	@	@	
100 Girls of Code	0	@	@	1	@	@	@	@	@	12	17	27	@	@	@	@	@	
Breakout Mentors	1	@	@	1	@	@	@	@	@	18	26	27	@	@	@	@	@	
Black Girls Code	0	2	@	1	@	@	@	@	@	3	19	27	@	@	@	@	@	
Adventures in Programming Made by Girls	1	@	@	1	@	@	@	@	@	25	27	@	@	@	@	@	@	
YWiC Alum Middle School Summer Camp	0	@	@	1	@	@	@	@	@	4	20	28	@	@	@	@	@	
Code Central Station: Tinker with Tynker	1	@	@	1	@	@	@	@	@	65	@	@	@	@	@	@	@	
Coding for Coders	1	@	@	1	@	@	@	@	@	71	@	@	@	@	@	@	@	
Hacking the Digital World through Web Design, Digital Imaging, and Geographic Information Systems	2	@	@	1	@	@	@	@	@	71	@	@	@	@	@	@	@	
ROVing Robotics: Exploring the Technology of Unmanned Vehicles	1	@	@	1	@	@	@	@	@	71	@	@	@	@	@	@	@	
Technology Day Camp	3	@	@	1	@	@	@	@	@	71	@	@	@	@	@	@	@	
Introduction to Programming for Middle School Students	1	@	@	1	@	@	@	@	@	71	@	@	@	@	@	@	@	
girls.code (Girls Code)	1	@	@	1	@	@	@	@	@	71	@	@	@	@	@	@	@	
Code Red! (More Coding)	1	@	@	1	@	@	@	@	@	71	@	@	@	@	@	@	@	
CodeNow in a Box	0	2	@	1	@	@	@	@	@	71	@	@	@	@	@	@	@	
CodeREV Tech Camps	1	@	@	1	@	@	@	@	@	71	@	@	@	@	@	@	@	
Hi-Tech Summer Camp	1	@	@	1	@	@	@	@	@	71	@	@	@	@	@	@	@	
Code Like A Girl	1	@	@	1	@	@	@	@	@	71	@	@	@	@	@	@	@	
e-camp	1	@	@	1	@	@	@	@	@	71	@	@	@	@	@	@	@	
